gene,logfoldchange,adj_p_value,cluster_7_percent,other_percent
Setd3,-0.23617170751094818,0.4651242178238285,0.11256414500910446,0.12156976556705686
Cby1,-0.5540227890014648,0.46423933409735085,0.03592120509849363,0.046929584126062796
Slc46a3,-0.9157609939575195,0.4640613968020067,0.015394802185068697,0.026721700901830535
Adamts14,-1.7906861305236816,0.4631284222751418,0.004469458698890912,0.0158868358539443
Sept6,-0.04534280300140381,0.4629958777631522,0.504552226452574,0.4955768383261853
Cd200r3,-0.6673650741577148,0.4628226487867993,0.0236715775533852,0.03497683617641052
Psd4,-0.17344313859939575,0.46281857843280816,0.14484356894553882,0.1539346253479948
Zfand1,-0.3263717293739319,0.4607474374914352,0.08061579208740274,0.09033353756194039
Xrcc4,-0.2279418259859085,0.46050395446384756,0.11736467472272802,0.1265357453806714
Trbv13-2,-0.16876894235610962,0.4587861610674458,0.23323952987915908,0.23943116958498598
Polr2a,-0.06875903159379959,0.45736750693851813,0.4259228604535673,0.4168413358700676
AW549877,-0.3991387188434601,0.45609855418888007,0.056613143519284884,0.06726645383896036
Cnst,-0.3690512478351593,0.455176101971776,0.058434034100314516,0.06925499553921727
Bpnt1,-0.5285758972167969,0.455176101971776,0.035424598576394635,0.04660711790439952
Zfp652,-0.37095072865486145,0.455176101971776,0.05909617612977984,0.06987843023443294
Trp53i11,-0.38454434275627136,0.45500227989648645,0.04999172322463168,0.06116109337546892
Eif4e3,-0.3399136960506439,0.4521390203435887,0.060917066710809466,0.07189921855685617
Trmt1l,-0.18942666053771973,0.4483757016594114,0.1512994537328257,0.15898659615405286
Map3k3,-0.41899263858795166,0.44719850700947744,0.046184406555206094,0.05738823858200853
5930430L01Rik,-1.059834599494934,0.447001897803773,0.011256414500910446,0.022819859619704837
Ankra2,-0.18151526153087616,0.44523695593513185,0.1678530044694587,0.17481968763771996
Trim65,-0.38938289880752563,0.44263672572958535,0.0523092203277603,0.06348285017144455
Mlec,-0.15812481939792633,0.4424461117152695,0.21801026320145672,0.22090011071340276
Gpt,-0.47641175985336304,0.4391836973856085,0.039397450753186555,0.05074543441574495
Uvssa,-0.3289440870285034,0.4389426754505046,0.06869723555702698,0.07946642589188782
