gene,logfoldchange,adj_p_value,T.4N_Nr4a1_percent,other_percent
Tmsb10,-0.030390311,0.9400102444766891,0.9991723224631683,0.9987316328614577
Lgals8,-0.19636288,0.9398728496508879,0.09253434861777851,0.09842743972568874
Pmm2,-0.16918756,0.9396396167736596,0.14600231749710313,0.14899014328249116
Sord,-0.89562607,0.9387753916572439,0.010263201456712464,0.01748841808820526
Med28,-0.010003083,0.9372114758308204,0.5706008938917397,0.5512882525555448
Zfp213,-0.2574639,0.9358332525532599,0.055288859460354244,0.06208549654423699
C030034I22Rik,-0.28672335,0.9336712852280101,0.050157258731998014,0.05705502348628981
Shpk,-0.6840849,0.9314959860264599,0.013739447111405397,0.021024797652445908
Zfp677,-0.41584924,0.9313118265353515,0.030955139877503726,0.0380940096524889
Retreg3,-0.08608154,0.9303617455737923,0.2570766429399106,0.2570808207840229
Ccdc130,-0.24590527,0.9302136766796464,0.054461181923522596,0.06146206184902132
Gstk1,-0.31432453,0.9287289448061343,0.04386690945207747,0.05085292315629938
Tmem241,-0.32208678,0.9275127779937625,0.04817083264360205,0.054980490793589375
Sh3kbp1,-0.031899773,0.9272006787456104,0.5118357887766926,0.5003493384068018
Nbdy,-0.23983115,0.9259160549759592,0.07051812613805661,0.07700493373319145
Osm,-0.3042033,0.9246964654675193,0.05131600728356232,0.05818365526211129
Zfp773,-0.6690481,0.9232964154555426,0.01671908624399934,0.024012984639858976
Dusp19,-0.34678775,0.9213049449910156,0.04469458698890912,0.05159459546612492
Ttll1,-0.64007527,0.9196506262099519,0.019036583347127958,0.02631324368772371
Gm20234,-0.3973611,0.918294550431699,0.03194835292170171,0.039179645932088614
Chchd7,-0.12949216,0.9132045744624189,0.1628869392484688,0.1664033192523083
Calcoco1,-0.23214123,0.9127318546090215,0.07796722396954146,0.0842926703427816
Fanci,-0.67812043,0.9101670061662424,0.016884621751365667,0.024260208743134157
Fam149b,-0.5022161,0.9094544389774794,0.025989074656513823,0.03327851407565058
Hist1h3f,-0.4348184,0.9084254297701143,0.025823539149147492,0.03321402083131792
Cbx7,-0.31951678,0.9074522332069049,0.04436351597417646,0.051551599969903154
Nemp2,-0.24859132,0.9046856983557832,0.0693593775864923,0.07608053056442338
Pot1a,-0.25017935,0.9027860502453561,0.0660486674391657,0.07279137510345791
Gopc,-0.24543084,0.8988635364813128,0.07233901671908624,0.07896122881128202
Ccnl2,-0.058042444,0.8973062234755854,0.40903823870220163,0.3949136327969645
Lrrc61,-0.23569643,0.8971232936722762,0.0715113391822546,0.0782518031236228
Pnisr,-0.056070123,0.8922724939424932,0.39463664956133093,0.38592757408661443
Mks1,-0.44645455,0.8920110654381008,0.029465320311206755,0.036879386884223875
Fam212b,-0.97144264,0.8909281836650549,0.007945704353583844,0.015553620758225577
Tmem126b,-0.28614005,0.8909063240134337,0.06257242178447277,0.06929799103543904
Tmx3,-0.1293499,0.8908719374373489,0.18126138056613145,0.18425719905839863
Mroh1,-0.5026787,0.8902384913853251,0.030789604370137395,0.03808326077843346
Aes,-0.095694065,0.8901118519386978,0.2686641284555537,0.2676899594767448
Mpst,-0.18353356,0.8901118519386978,0.1292832312531038,0.13375898874592887
Tdgf1,-1.1029079,0.88959210319022,0.008276775368316504,0.015876086979888855
Neat1,-0.10618751,0.8883072716081889,0.1993047508690614,0.20241204733804133
