gene,logfoldchange,p_value,adj_p_value
Hmgn2,0.43545112,1.5358004682406713e-06,3.381195588335406e-05
Nop16,1.4035071,1.3480716206780595e-16,8.67450255993071e-15
Eif5b,0.9338421,7.404910297993818e-19,5.876677858398331e-17
Trp53,0.34626496,0.00024192405529618305,0.0033796364673647837
Banf1,0.88281465,4.3188393658161945e-28,6.484484402765108e-26
Foxp4,1.5860667,1.1099430183848354e-14,6.268759763507567e-13
Mettl1,1.8102796,2.426041761281556e-23,2.642641306765909e-21
Nfkbib,0.05128596,0.34998788710340556,1.0
Timm23,0.6987015,6.526531119136802e-12,2.8033806090601535e-10
Edf1,0.7276333,1.6350204615171624e-23,1.841165608894934e-21
Cnbp,0.51328254,4.443471750066e-22,4.515542694304875e-20
Mybbp1a,1.3965456,3.873393014432046e-27,5.470675252417329e-25
Fam162a,1.1910496,3.747969448199186e-21,3.6042685174383764e-19
Pou2f2,1.7691352,4.988767409278022e-24,5.694712167330651e-22
Isyna1,1.1992391,6.158325791562415e-19,4.9343585404893854e-17
Stk17b,-0.88804144,7.461378647193493e-56,3.360846933354777e-53
Psat1,1.8797154,4.934151151826408e-16,3.068379220012646e-14
Eif3b,0.9413944,2.2007468272982666e-13,1.0981331324476919e-11
Khdrbs1,0.5023307,7.176833949694333e-10,2.4866759793265228e-08
Il2rb,1.9575529,2.4739929001974277e-17,1.7108533474975241e-15
Gspt1,0.8351796,7.24285673361451e-13,3.458723504940385e-11
Cox5a,0.638245,4.923670723865797e-20,4.273848764788926e-18
Arpc2,-0.14889412,3.710738456921661e-05,0.0006272126483068601
Glrx3,0.93177,1.9873067996757676e-19,1.6477838369848928e-17
Stat6,0.39054915,0.0021210052836175817,0.02407947824030696
Eif2s1,0.4554295,8.879018390780216e-06,0.0001708749659361929
Pomp,0.6191555,7.2305513707692665e-12,3.081953175070092e-10
Slc1a5,0.28161028,0.013834553595137317,0.12316595631226417
Slc25a3,0.45142213,5.856808635331548e-13,2.8048727792079188e-11
Rsl1d1,0.75026715,1.203115448102972e-10,4.505870125412164e-09
Ttc3,0.6317425,1.239519608887973e-06,2.7991644717787207e-05
P4hb,0.93103397,5.343992680604033e-18,3.906271141006439e-16
Abracl,0.0071747904,0.4838070791981831,1.0
Ddx39,1.1477774,2.9810247676666443e-24,3.523528991342716e-22
Kdm2b,0.6607821,0.0014838423939894992,0.017538806622857443
Snrpd2,0.7774966,7.793590793916715e-21,7.09770405308284e-19
Prkar1a,0.10824955,0.3549582913687722,1.0
Csnk2b,0.18281004,0.051975594104209814,0.36213430239998357
Junb,-1.6196085,1.0865594094663799e-82,1.2072399412111125e-79
Eif4g1,0.5680478,2.6743240893682e-08,7.792007914931892e-07
Ppa1,1.737509,9.90585142136104e-28,1.4481659630561676e-25
Mrpl12,1.1259023,5.222432855044856e-21,4.83539255345431e-19
Nop56,0.94966775,3.563595998754622e-14,1.8974725532027006e-12
Rpl7l1,0.96670496,9.462375097677063e-13,4.454800660392258e-11
Chd4,0.6132643,1.7169669072802945e-10,6.316770524665207e-09
Eno3,2.0605543,5.458362220072978e-16,3.3817496193210505e-14
Tuba1c,0.07346565,0.5695041862690761,1.0
Npm3,0.9903255,3.2086149450697703e-23,3.472388095748883e-21
Nme2,0.83341837,1.409623287624813e-52,5.729946758915886e-50
Psma6,0.8732932,4.6930895535028776e-18,3.4608420574636707e-16
Shisa5,-0.0010728333,0.5986263328968549,1.0
Magoh,0.19369699,0.05328748748461474,0.36911440832027814
Ndufa11,0.7719569,5.232076865532055e-19,4.253550880046694e-17
Ebna1bp2,0.5415123,5.974710789059099e-06,0.00011939392087585006
Hivep3,1.8110241,6.206845763512412e-10,2.1731783927457534e-08
Cox7b,0.5875076,8.279271458177246e-17,5.475489608015158e-15
Polr2l,0.8465512,2.117755565211847e-21,2.088432795847375e-19
Bcl2l11,1.3018855,1.1835278962443847e-10,4.442494576308315e-09
Rcl1,1.0452127,1.2675678870554607e-12,5.884480892943262e-11
Itgb2,-0.080888174,0.1929194778730814,0.9489952828313974
Psme3,1.0879935,2.5629958158126258e-14,1.3823588435706544e-12
Polr2h,0.5674913,4.22553354960952e-05,0.0007042274213779226
Lsm7,1.0587056,2.034416675655453e-31,3.5318321162993515e-29
Myb,2.1993375,1.2679270913583782e-14,7.114906701878361e-13
Tnfrsf25,0.86193794,7.930689765213717e-07,1.8459898830593827e-05
Tank,0.56945467,0.0003107435263853082,0.0042554244952650346
Dkc1,1.2745591,1.444961930571242e-21,1.450706959933754e-19
Anp32e,0.8328723,4.053275968548516e-14,2.1513343086569927e-12
Eprs,1.0661167,3.184774103583263e-18,2.401694353408084e-16
Eif3a,0.57295775,1.9137567201998745e-10,6.982719796610093e-09
Snrpa,0.919989,1.1449094685182328e-12,5.3749468175563e-11
Fabp5,2.2498863,1.5306792154729874e-17,1.0763839580199497e-15
Tra2b,-0.18356444,0.0029557371226954393,0.03228067816962136
Pacsin1,0.4182478,0.0004314589198440044,0.005734206027209073
Nfatc1,-0.039123256,0.9929696017399715,1.0
Wdr43,0.8448137,1.1575987743131308e-12,5.4133228328957264e-11
Cacybp,1.0174786,4.572697739535384e-22,4.6187018501270735e-20
mt-Nd1,0.19792321,3.6603207765344623e-08,1.0287167969936484e-06
Mdn1,1.1704887,3.121935887466839e-13,1.5169149708607097e-11
Mdh2,0.61069167,5.494961603810044e-16,3.391815929225859e-14
Traf1,-0.0669712,0.7779702177393287,1.0
Metap2,0.6490264,2.341953023026467e-10,8.466591991704793e-09
H2afz,0.43599463,2.083473833472601e-08,6.11323501912929e-07
Tkt,0.71874076,2.936762895044734e-13,1.4395320708475159e-11
Snrpa1,0.9689133,2.204439115890288e-14,1.20062687272639e-12
Etf1,0.110956475,0.26984503182562924,1.0
Atp5e,0.5664378,1.2174191555245463e-37,3.0282847232794164e-35
Tcerg1,1.1504977,9.33225979221299e-18,6.675169171545995e-16
Eif3d,0.90829086,6.845829739985035e-18,4.960547758547417e-16
Eif4e,0.75948787,1.5002298252746612e-09,5.0408931991990936e-08
Tufm,0.6304532,2.306480935518041e-07,5.8154026129112965e-06
Top1,0.30389383,0.002342486642327395,0.026183690396397293
Eloc,-0.05386333,0.48794315173079683,1.0
Ptbp1,0.32859167,0.0007079209592557378,0.008999397945809402
Nars,1.074199,8.822349268838024e-16,5.308060394023628e-14
Skp1a,0.5324087,9.969482411376765e-15,5.670696036450688e-13
Elp5,0.93977875,2.9734701841993536e-07,7.384654300253662e-06
Mbd3,1.8620237,8.655982423831124e-17,5.702000121564012e-15
Rnps1,0.6980592,4.687908264738343e-11,1.8254364285076922e-09
Ly6e,1.1906573,1.5923059633579415e-18,1.234296334201091e-16
Bax,0.38915965,9.578964324171606e-05,0.0014632724053771217
U2af2,0.49023744,1.8602232821753767e-07,4.784333521718338e-06
Prpf19,1.169611,9.998076925662722e-20,8.45827157579162e-18
B3gnt2,-0.33234847,0.22123945302599002,1.0
Hspa4l,-0.575707,0.06609446572334751,0.43746241689646925
Rcc2,1.1409456,1.8361700051022478e-10,6.725628418688805e-09
Ramp1,0.64405215,1.7084928394234138e-14,9.397274475851686e-13
Smarca5,0.42322242,5.800490660594886e-05,0.0009322177179312861
Rheb,-0.38742498,0.0026254608794538735,0.02899664083298758
Ptpn7,-0.3510531,0.018829125280265684,0.15921167017803545
Timm17b,0.5231941,4.156250639182499e-05,0.000693374105631787
Adk,0.6088685,7.574218287716612e-06,0.00014850814350951183
Nrip1,1.8182741,7.939572236836692e-18,5.728177961000878e-16
Ikzf1,0.21423507,0.028098857535591323,0.220998376445571
Gadd45b,0.9074925,0.0001157951971388799,0.0017385970770419572
Canx,0.70639443,7.68161244000124e-13,3.636981617189224e-11
Srsf7,0.10239329,0.43068607683318993,1.0
Serp1,0.49876773,7.737702537527822e-06,0.00015135745362727544
Gm10076,0.29074627,1.3761709405925116e-48,4.680666305288734e-46
Isy1,0.9152889,4.009039164274887e-12,1.7675832463440548e-10
Tomm40,1.2939048,5.6350882015530375e-18,4.1010646273835335e-16
Sub1,-0.089643344,0.06257896273893904,0.4195257413544481
Btg1,-0.77970916,3.687370624290731e-59,1.8074623183655683e-56
Nab1,-0.096837185,0.8220972579918442,1.0
9130401M01Rik,1.0882878,2.9172123697396425e-09,9.458805710910677e-08
Polr1d,0.18493593,0.04420978482558187,0.3186852395774859
Mapk11,0.7641514,0.00031660126388447104,0.004324980872048028
Nr4a3,-0.46577698,0.2814634166952851,1.0
Lad1,5.1710896,1.2196116794910346e-22,1.2864587500251634e-20
Llph,0.5402073,7.976364277504923e-09,2.452658432636477e-07
Tpm3,0.09328167,0.38365813409845073,1.0
Stip1,0.75263685,2.3416909151236308e-08,6.846775577447444e-07
Polr2e,1.2714071,4.378155224844715e-29,6.88361650728887e-27
Psmb6,0.50319034,5.0499313535293964e-08,1.3888144544211372e-06
Gapdh,0.67714715,4.523199203947223e-21,4.235035838931709e-19
Umps,1.4914932,1.7534311052554903e-14,9.612724605325e-13
Psmb5,0.6592886,1.1179744295109417e-13,5.680537147021145e-12
Pdia6,0.96838343,4.8791132435009816e-18,3.5821718641492226e-16
Cct7,0.6004295,4.0875291716600993e-13,1.9745727876778903e-11
Wdr83os,0.7434715,2.465610909073814e-15,1.4418200494955853e-13
Mrpl52,0.3200846,0.00019523556126723482,0.002785716889977665
Dnajc2,0.56482077,5.308290999556632e-07,1.2656363061317715e-05
Rrp1,0.7781743,3.1935154755687496e-17,2.1812757752388842e-15
Lrp10,0.18771425,0.0788980227930154,0.49864029119013825
Nop10,0.8171803,3.293356696244963e-36,7.41717333778629e-34
Psmd11,0.6459745,3.290491153519905e-11,1.3088144526148624e-09
Pkm,0.4559079,1.1791562922614612e-13,5.973197193565201e-12
Emc6,0.4945436,2.060132108202518e-05,0.00036681796704383723
Cdc37,0.5615684,8.200893373217855e-11,3.1062747490465632e-09
Mea1,0.54604137,1.2652615266460701e-05,0.00023534429244512727
Ftl1,0.14926238,0.0023172984325477734,0.02595436537422123
Chd1,-0.3258728,0.10482414323709242,0.6179692858823426
Eif3l,0.805008,9.825271954611641e-14,5.007583559497175e-12
Gps1,1.0862317,6.424574761627736e-15,3.6794488995631565e-13
Ptpn1,0.33440137,0.00042216839331315575,0.005633193309012853
Elob,0.56043524,2.4753203646548902e-20,2.2060796362213048e-18
Fus,0.11050013,0.3092734535936531,1.0
Cyba,0.3341792,1.3950090524413268e-06,3.09989611573162e-05
Ube2n,0.25557762,0.014735290013257707,0.12931982272825326
Rbmxl1,0.530315,8.49631233560675e-06,0.00016445939765995598
Ndufaf4,0.9504238,1.5709853226938968e-10,5.831189618711912e-09
Stat5a,1.5562296,1.5041864533388458e-18,1.1714379173525797e-16
Lsm2,1.0565212,3.339037059046099e-14,1.795109407292332e-12
Psmd8,0.54849315,2.0937779069693513e-07,5.3193449081632934e-06
Bccip,0.7865582,5.8143775257473996e-12,2.5235004126069313e-10
Smarcc1,1.4674946,8.645577549263213e-18,6.210654975690548e-16
Txn2,0.9494796,5.951870616380333e-24,6.747882700176506e-22
Sox4,1.7984537,4.938698294737651e-10,1.7438208851715614e-08
Rpl10a,0.2791541,1.6285282645524222e-25,2.0718360348878375e-23
Dnmt3a,1.4007899,4.964272227349764e-08,1.3675134039836558e-06
Cfdp1,0.7971656,1.924164917115699e-12,8.714166442567999e-11
Atad3a,1.7378742,7.133572074677169e-16,4.3075402969771625e-14
Sf3b3,0.41644356,5.2737204009298855e-05,0.000860840589636606
Samsn1,-0.43086654,0.04816238692984486,0.34026042415124824
Pcbp1,1.052195,1.4499948819907975e-11,5.952121848093258e-10
Pdcd1,0.36795217,0.1101628262726127,0.6403618708773167
Pdap1,1.0283129,1.8154640775848644e-17,1.265963360545161e-15
Ddx54,0.64119166,3.647806462433443e-08,1.0269314611979014e-06
Ilf3,0.787084,8.851992909768267e-06,0.00017055180790080687
Ywhae,0.28317684,0.0019483281382845468,0.022380227574728108
Amd1,0.9205886,1.2623919962882897e-09,4.27622459555704e-08
Hnrnpf,-0.09002766,0.006822925344988108,0.06716531234469687
Mapre1,0.17383242,0.09357829921763271,0.5680802933006378
Grap,0.31312624,0.00806342021930212,0.0776791684247914
Ssr2,0.4194615,0.00013501606923519552,0.002005506069406211
Tnf,-1.5573554,1.0596897287849952e-08,3.20522486750104e-07
Rrs1,0.63506025,1.4964580660677492e-05,0.00027497210726664946
Psmc5,0.6168691,7.572148781561685e-09,2.3632477826499445e-07
Sar1a,0.63750577,3.7104962122257345e-07,9.0408084609582e-06
Arf3,0.860809,1.6506106887813755e-08,4.88615945634643e-07
Tnfrsf18,0.51863265,0.0001082779133018629,0.0016330857041528027
Acot7,2.9253085,2.291371439019846e-14,1.2426485338278322e-12
Nap1l1,0.885482,6.695487548056448e-16,4.08743573171827e-14
Hspa4,0.5359672,8.589007087218542e-08,2.312510373434317e-06
Sbno1,0.45727947,6.200307398545762e-06,0.00012345797264535683
1810022K09Rik,0.8216649,2.8562731389627957e-16,1.7895732381185696e-14
Psma5,0.86029524,1.200182730730469e-15,7.14365906798357e-14
Atp5o-1,0.6732779,3.550102811109079e-18,2.6413398861582106e-16
Ddit4,1.7508234,1.10813136353282e-44,3.2978780901139245e-42
Cdk4,1.1337577,3.347236431956745e-24,3.9010519143350427e-22
Hif1a,0.16719083,0.08283217052547087,0.5167340634576404
Pno1,1.4014293,9.57859955228397e-14,4.896838654551063e-12
Ndufb2,0.79732835,5.2236611692447106e-14,2.729076396446155e-12
Mrpl17,1.0539421,4.43608411713179e-14,2.3470405681307432e-12
Atp5j,0.3721544,3.02269669976831e-07,7.485328855622385e-06
Cox7c,0.45639628,1.2759215098974478e-16,8.2420573193608e-15
Plgrkt,0.756988,1.5480593553067876e-07,4.0249543237976475e-06
Pdcd5,0.60364383,3.4014892645278615e-08,9.657448054961046e-07
Nip7,0.9203106,1.1787379190578804e-11,4.911211539754658e-10
Dynll1,0.2969693,0.00014078103185020214,0.0020837093044542353
Slc7a5,1.5169755,7.480275229968476e-08,2.040364435067997e-06
Strap,0.687551,7.812951107439672e-09,2.4202721776317766e-07
Hnrnpc,0.45068496,1.5589641443462215e-05,0.00028488702225519877
Ccdc124,0.42924342,0.00017918642385026596,0.002583322612360322
Lyar,1.089012,7.982308045689254e-11,3.03036778791474e-09
Shmt1,2.272817,2.1109296667506805e-09,6.966485906151851e-08
Ndufa5,0.6451999,2.6121710107697627e-12,1.1702807006851846e-10
Ap2m1,0.700783,5.0952125297462063e-14,2.6703400006525244e-12
Srsf10,0.6449333,3.2181762687733887e-10,1.1534220579651031e-08
Ndufb6,0.6847286,6.2070186418543276e-12,2.679952660236897e-10
Slc38a1,0.5358606,0.0001873907296956536,0.0026876539596452347
Eif1b,-0.02061981,0.9752298752307088,1.0
Cebpz,0.46090135,6.266143969947525e-05,0.0009974360592468524
Rrp15,1.2212423,7.373105435277306e-13,3.5108621481237596e-11
Lax1,-0.31536713,0.2702892247155174,1.0
Atf4,-0.050219208,0.8948489014718357,1.0
Timm13,0.7542307,8.259128688218807e-17,5.475489608015158e-15
Gnpnat1,0.61194664,3.76952133232864e-05,0.0006335832403615147
Ruvbl1,1.0885079,3.4036399963532056e-10,1.2172760553481229e-08
Dctpp1,1.7857223,1.6143719190767516e-14,8.938578871539251e-13
Vasp,0.012250578,0.8528277180266314,1.0
Ddx27,0.83575183,2.131445878181871e-09,7.007574568735055e-08
