"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C130021I20Rik",0.704214726464101,1.65826888612138,4.0118994637521,0.413337597590368,0.67935928730826,NA
"Hddc2",422.972869421927,0.300709064946311,0.246864261644426,1.21811501974085,0.223180266964458,0.558993620797599
"Sephs1",1329.3291476798,-0.112273764289164,0.138579167752439,-0.810177793026814,0.417837998729277,0.735942253659725
"Mrrf",431.304485666419,-0.480932726190936,0.229180334073077,-2.09849037936032,0.0358618488831751,0.200110609676224
"Sirt4",99.850889279883,0.634234823110206,0.535975649821745,1.18332768162348,0.236679306134586,0.572154406905805
"Nudc",2142.39466868662,0.0503269060396413,0.124938112313228,0.402814682468297,0.687084559100387,0.891044118507659
"Zfp189",143.775157846756,-0.00911192361698835,0.378726537040528,-0.0240593745772118,0.980805248325014,0.996696481239448
"AK216694",2.45665542759529,-1.61274950268242,3.17430166665802,-0.508064346757681,0.611408217742234,NA
"Mettl21a",408.069046666069,0.0315063723756268,0.224344231870822,0.140437630657552,0.888314227485266,0.972290256330602
"Gm16675",119.209032333328,-0.222145539558656,0.401243768587686,-0.553642341513669,0.579823642486311,0.838899615439436
"Sf3a2",1155.43578870015,-0.189398776059857,0.160212315545319,-1.18217363886912,0.237136810123017,0.572629450928717
"Map3k8",65.4187656599939,-1.60756053468912,0.61627329091835,-2.60851891259734,0.00909349865501592,0.075066951568065
"Acss2",995.908319155762,-0.2171867437785,0.182865343810042,-1.18768673852226,0.234956850405349,0.570840801176242
"Mgat2",2340.16577179523,-0.0656737386537027,0.121832569958736,-0.539049112039138,0.589852967295215,0.844015091421744
"Ildr1",41.7384574869458,-2.06313350115664,0.696509556886716,-2.96210365063547,0.00305544907426009,0.0325880333197555
"Klhl28",670.715134773044,-0.180311774610039,0.183451074434634,-0.982887536449324,0.325662792638213,0.666531575118201
"B3galt4",996.922908932703,-0.13768274048583,0.156599428719061,-0.879203338173297,0.379291034796373,0.706377375441757
"Gpbp1",7017.50538045086,-0.0214234798640826,0.11302078436833,-0.189553452347883,0.849659065436551,0.957517211909936
"Tpm3",15017.6089336272,0.0175390785324794,0.0798736147649776,0.219585386038768,0.826194073891581,0.949307911083827
"Lrrc48",9.17981724426701,2.08109155613385,1.89142146430538,1.10027912625921,0.271210524036462,0.613146414512073
"Mir17hg",266.506924897953,0.53124878495425,0.294930948744781,1.80126496461369,0.0716611271892552,0.307999670262793
"Tmem229b",5027.05985543355,0.293580891245802,0.0945583934128292,3.1047576069114,0.00190435016380116,0.0225887965223966
"Srp14",2192.11779211916,0.303486758860672,0.127878751854172,2.37323835633582,0.0176328808415201,0.122965122879435
"Slc25a43",6.03955625635364,0.613241087197428,1.90472352337702,0.32195805830663,0.74748446868793,0.918844830662199
"Cant1",2532.72467347163,0.114053036007904,0.121142471243021,0.941478532158264,0.346459685617549,0.683760897194515
"Gcat",156.907886582604,1.794852691246,0.356541706289587,5.03406097963812,4.80196808563929e-07,1.71198255457679e-05
"Akt3",1582.3946242199,-0.186586386484225,0.131271329828889,-1.42137957105668,0.155206442199,0.468425501420047
"LOC100503496",89.5426451166744,0.633032339940826,0.486274233847501,1.30180111525167,0.192984382470307,0.524247594356173
"Mira",4.90609392796635,1.25355624894211,2.00884721098201,0.624017716274856,0.532615950289194,0.810838627932163
"Adprm",597.303401188829,-0.243286290969713,0.211135531924644,-1.15227545431123,0.249207900087428,0.588893440310861
"Pdlim2",1659.61401105954,-0.0318935591193019,0.134019527985102,-0.237976954543873,0.811898968396601,0.943738113750162
"Pcgf2",29.8794160311555,0.132450107021508,0.780729462554588,0.169649172183312,0.865286049208761,0.963951879578603
"Gyltl1b",0.488324885347426,-1.2915712534032,4.03104694736999,-0.320405907017746,0.748660648243696,NA
"Rp2h",562.000001517535,0.157745539537618,0.209465240108494,0.753086953500793,0.451397663758215,0.758807770405334
"Trp53",3714.87407094322,0.115739956062084,0.101450206355969,1.14085481163019,0.253930346790067,0.594420986587876
"Eogt",465.017499085691,0.197428268283403,0.231793143935352,0.851743347242689,0.394356556149723,0.716025405410602
"Eef1a1",380821.287644889,0.228143588658814,0.0945514111603174,2.41290516830027,0.0158259366428938,0.113932381095637
"Bloc1s6",1385.37649213184,-0.0929169908449276,0.138560814604598,-0.670586349467408,0.502484080920684,0.792611846508454
"Braf",1525.13941344411,-0.00360058796640698,0.137144059234495,-0.0262540571316365,0.979054699364351,0.996463312238078
"Rnase6",2.95167329000388,3.93438534831805,2.81418925081172,1.39805286626804,0.16209719235154,NA
"Angptl6",77.7613731404506,0.0951195859615294,0.531677010905014,0.178904831336638,0.858012429135278,0.962089738544478
"Arvcf",40.6468526130178,-1.71295937820235,0.68934098898385,-2.48492314482474,0.0129579406512424,0.0988354463615194
"Tns4",68.7460458904882,-0.423423679629534,0.568791379016984,-0.744427034673624,0.456618168575852,0.761606512894266
"Hoxa2",4.09777869967052,0.287910453013853,2.63070612639454,0.109442271078922,0.912851707613914,0.979879828552542
"Parp8",1209.07145252149,-0.261626171023867,0.181657373479625,-1.44021773524768,0.149805807084253,0.460594792517765
"Ccdc181",148.126269660592,0.596784266005947,0.369593113778552,1.61470612886884,0.106374349675064,0.383784364055545
"Cchcr1",138.238487536257,-0.020891582518202,0.373266749925988,-0.0559695781163055,0.955366042304275,0.990262924922421
"Ttc37",1743.81513394009,0.188458511888998,0.135704612387795,1.38874065201595,0.164911627782463,0.482716416009
"Reep3",1085.80161145628,-0.174594446358934,0.15545144117034,-1.12314459772436,0.261376087777206,0.60316096473969
"AK083815",0.882943570086844,2.61429449611778,4.00543513794415,0.65268676338112,0.513958237632905,NA
"Coro2b",5.60289325853257,-1.2660275001091,2.16175953419096,-0.585646775270457,0.558112908224459,0.826765170047802
"Fam135a",0.176053681616025,1.06165591870542,4.06990868137412,0.260854972880369,0.794204349330082,NA
"Sec24b",2428.89826945136,-0.119933185471349,0.113343370523888,-1.05814027690374,0.28999149436883,0.633330997082188
