"gene","module"
"Itgad",2
"Nynrin",4
"Exo1",4
"Csf1",4
"Aqp3",4
"Scrn2",4
"Acsbg1",4
"Ctsf",4
"Samd3",4
"Stom",4
"Cd160",4
"Il10ra",4
"Shmt1",4
"Il2rb",4
"Dtx1",4
"Ankle1",4
"Sh3tc1",4
"AK142678",4
"AK080695",4
"Oasl1",4
"Rab32",4
"Pim2",4
"Rarg",4
"Hip1r",4
"Cxcr4",4
"Nab2",4
"Pole2",4
"Xdh",4
"Ppm1j",4
"Prg4",4
"Egr2",4
"Rgs3",4
"Clec2i",4
"Egr3",4
"Ampd1",4
"Egr1",4
"Hdac5",4
"Pogk",4
"Xkrx",4
"Btbd11",4
"Pglyrp1",4
"Adamtsl4",4
"Dhdh",4
"Eomes",4
"Dapl1",4
"Ms4a4c",4
"Gm13546",4
"Cmya5",4
"Slfn4",4
"Ddx43",4
"Plxna3",4
"Cd177",4
"B130006D01Rik",4
"Dclk2",4
"Gpsm1",4
"Cuedc1",4
"Ramp3",4
"AA414768",4
"Susd1",4
"Sepn1",4
"AK041795",4
"Sdcbp2",4
"Zfp839",4
"Kcnh2",4
"Fosb",4
"Mmp14",4
"Tacc2",4
"Man1c1",4
"Frat1",4
"Tmem141",4
"Zfp296",4
"Fam71b",4
"Fcgrt",4
"Fam211b",4
"Pltp",4
"Rcn3",4
"G0s2",4
"Plce1",4
"Zscan18",4
"Haao",4
"Ahnak",4
"Plekha6",4
"Raver2",4
"Igf2bp2",4
"Zcchc18",4
"Reck",4
"Gpr133",4
"Nlrc4",4
"Lcn4",4
"Bend4",4
"Pald1",4
"E130012A19Rik",4
"Ggt1",4
"Cxcr3",4
"Chst11",4
"Racgap1",4
"Nkg7",4
"Ehd1",4
"Ifitm10",4
"Gpr114",4
"Cd8a",4
"Ly6c2",4
"Ly6c1",4
"Nedd4",4
"Ppic",4
"Ccl5",4
"Tbx21",4
"Osbpl6",4
"Chsy1",4
"Ccdc102a",4
"Megf11",4
"Bace1",4
"Wdr95",4
"Mir7646",4
"Fam19a3",4
"Rom1",4
"Fuca2",4
"Snai3",4
"Frmd4a",4
"Usp11",4
"F2rl1",4
"Bbc3",4
"Kcnc1",4
"Gpr146",4
"St3gal6",4
"Kctd12",4
"Galnt9",4
"Cnr2",4
"Akap2",4
"Ncf1",4
"Ildr1",4
"Thrb",4
"Alpl",4
"Cxxc5",4
"Cd72",4
"Clstn1",4
"Tmem108",4
"Fam174b",4
"Bai2",4
"Nmnat2",4
"Eng",4
"Apol7a",5
"Clic5",5
"Slpi",5
"Arrdc4",5
"H2-T3",5
"Repin1",5
"Il7r",5
"Epas1",5
"Col6a4",5
"Kif23",5
"Fam46a",5
"Cd200r4",5
"Crip1",5
"Apol7e",5
"Klrd1",5
"Phf21b",5
"Lhpp",5
"AK163121",5
"Amz1",5
"Slc16a6",5
"AK079938",5
"D7Ertd715e",5
"Ccnb1ip1",5
"BC057381",5
"Snx8",5
"Tnfrsf10b",5
"Rnf157",5
"Cst7",5
"Abcb1a",5
"Plac8",5
"Cxcr6",5
"Avpi1",5
"Rmi2",5
"Cd8b1",5
"1700061G19Rik",5
"Ly6a",5
"Cd79b",5
"Dmrta1",5
"Il18rap",5
"Myo1f",5
"TCRB13-3-1",5
"AK148204",5
"Gas7",5
"BC040266",5
"AK202495",5
"Pafah2",5
"E130317F20Rik",5
"Cpne5",5
"Gm7102",5
"Zc3h12b",5
"Mycbp",5
"BC060616",5
"Rcor2",5
"Dsel",5
"Tmem220",5
"4921511I17Rik",5
"Nicn1",5
"Pnp2",5
"Lmbr1",5
"AK148054",5
"C530008M17Rik",5
"AK009977",5
"Tctex1d2",5
"Mitf",5
"Bmpr1a",5
"Zfp108",5
"Hlf",5
"Cdc42bpa",5
"Zfp708",5
"Scrn3",5
"Hmcn1",5
"AK078446",5
"TRAV14D-1",5
"Kcnj16",5
"Mgst3",5
"Lphn2",5
"Thnsl2",5
"Hoxa1",5
"Tceal8",5
"Gm8898",5
"Ptgr1",5
"Pgpep1l",5
"Zfp91Cntf",5
"AK171953",5
"AK141527",5
"Hspa1b",5
"Hspa1a",5
"2900005J15Rik",5
"Rgs11",5
"AK166469",5
"Jun",5
"Fos",5
"AK186759",5
"Camsap3",5
"Adamts13",5
"Catsperd",5
"Car2",5
"Tceal3",5
"AK039536",5
"Cd1d2",5
"Cdh5",5
"Plekho1",5
"Khdrbs3",5
"Samd4",5
"Slc2a9",5
"H2-Q6",5
"AI506816",5
"Trio",5
"H2-Q5",5
"Tmem181c-ps",5
"Zfp791",5
"Actn2",5
"Lhfpl3",5
"H2-Q7",5
"Itga7",5
"AK190531",5
"Gm5547",5
"Tcp11l1",5
